TT,NỘI DUNG / ĐƠN VỊ KINH DOANH,VỐN ĐT,DS PHÁT SINH,% LG PHÁT SINH,LG PHÁT SINH,HT LG,CHI PHÍ,TN KHÁC,CP KHÁC,LNTT PHÁT SINH,LŨY KẾ DS,LŨY KẾ % LG,LŨY KẾ LG,LŨY KẾ HT LG,LŨY KẾ CHI PHÍ,LŨY KẾ TN KHÁC,LŨY KẾ LNTT
"I","MIỀN BẮC","90000","","","","","","","","","154375","19.7%","30478","343","39526","9025","55"
"1","THH (Tân Hồng Hà)","50000","","","","","","","","","78197","20.9%","16347","343","13846","58","2902"
"a","Khối dịch vụ kỹ thuật","","","","","","","","","","18382","35.9%","6598","54","6291","1","362"
"a.1","Tổ Dịch vụ","","","","","","","","","","9304","33.4%","3103","53","","",""
"a.2","Tổ mực in","","","","","","","","","","2319","51.0%","1181.7","","","",""
"a.3","Thuê máy","","","","","","","","","","4304","33.1%","1424.8","","","",""
"a.4","Metercharge","","","","","","","","","","1684","51.8%","873","","","",""
"a.5","Kinh doanh Online","","","","","","","","","","772","2.0%","15.1","1","","",""
"b","Kinh doanh tổng hợp","","","","","","","","","","14949","8.1%","1212.1","9","1324","47","-55"
"c","Kinh doanh bán buôn","","","","","","","","","","30362","9.4%","2847.1","279","2833","10","303"
"d","Dự án","","","","","","","","","","14503","39.2%","5690.3","","3398","","2292"
"2","Việt","10000","","","","","","","","","48605","20.6%","10004","","7839","0","2165"
"2.1","Thuê máy","","","","","","","","","","12422","57.9%","7195","","","",""
"2.2","KDTH","","","","","","","","","","14838","7.6%","1135","","","",""
"2.3","KD online","","","","","","","","","","19902","6.2%","1239","","","",""
"2.4","Cửa hàng","","","","","","","","","","835","42.6%","356","","","",""
"2.5","Nội bộ","","","","","","","","","","608","13.0%","79","","","",""
"3","ITSS","5000","","","","","","","","","3555","36.8%","1309","","963","-4","342"
"4","CTY VPS","10000","","","","","","","","","24017","11.7%","2818","","16878","8706","-5354"
"4.1","VP VPS - hoạt động KD","","","","","","","","","","24017","11.7%","2818","","5389","3159","588"
"•","VPS bán nội bộ","","","","","","","","","","20532","12.6%","2595","","","",""
"•","Xuất khẩu","","","","","","","","","","2228","14.9%","331","","","",""
"•","Xuất bán trong nước","","","","","","","","","","1258","-8.6%","-108","","","",""
"4.2","HĐ đầu tư Tài chính","","","","","","","","","","0","","0","","11490","5547","-5942"
"5","XESCO (Xem Sơn)","15000","","","","","","","","","84527","26.8%","22687","","16756","364","6295"
"5.1","Xesco - KT","","","","","","","","","","23855","55.4%","13222","","10369","94","2959"
"•","Kỹ thuật thuê máy","","","","","","","","","","11785","66.8%","7875","","6508","-6","1362"
"•","Metercharge","","","","","","","","","","2139","60.0%","1284","","","","1284"
"•","Dịch vụ kỹ thuật","","","","","","","","","","9931","40.9%","4063","","3861","111","313"
"5.2","Xesco - KD","","","","","","","","","","60672","15.6%","9464","","6387","149","3336"
"•","Bán máy lẻ","","","","","","","","","","3614","22.8%","823","","654","-3","165"
"•","Dự án Xesco","","","","","","","","","","3426","36.3%","1245","","131","-2","1112"
"•","KD sỉ","","","","","","","","","","27002","16.3%","4410","","3591","76","895"
"•","KD Online","","","","","","","","","","23597","3.7%","882","","792","-22","68"
"•","KD Thuê máy","","","","","","","","","","3033","69.4%","2104","","1219","-3","883"
"•","Nội bộ (Công ty)","","","","","","","","","","","","","","","213","213"
"II","VPS MIỀN TRUNG","3000","","","","","","","","","12937","20.6%","2661","","1782","0","880"
"•","Kinh doanh máy - bán buôn","","","","","","","","","","6698","8.6%","575","","","",""
"•","Kinh doanh linh kiện - bán buôn","","","","","","","","","","2028","15.4%","312","","","",""
"•","Shopee-Online","","","","","","","","","","898","5.3%","48","","","",""
"•","Dịch vụ","","","","","","","","","","1737","48.6%","844","","","",""
"•","Thuê máy","","","","","","","","","","743","66.8%","496","","","",""
"•","Dịch vụ toàn phần","","","","","","","","","","478","67.8%","324","","","",""
"•","Bán lẻ","","","","","","","","","","355","17.7%","63","","","",""
"★","TỔNG CỘNG TOÀN TẬP ĐOÀN","93000","","","","","","","","","251839","22.2%","55826","343","58063","9492","7230"
